Name,Address,Phone
Abundant Life Community Baptist Church,P.O. Box 1882,512-945-6241
Abundant Life Church,6300 Tylersville Rd,(513) 746-7063
Abundant Life Christian Fellowship,5006 Lord Road,210-286-4542
Abundant Life Christian Fellowship,c/o P. O. Box 2426,808-542-7775
Abundant Life Blue Springs Campus,1241 S 7 Hwy,(816) 554-8181
"Abundant Life Baptist Church, Fort Worth",6809 McCart Avenue,817-361-9889
Abundant Life Baptist Church,2167 University Ave,718-931-8445
Abundant Life Baptist Church,12 Hart Service Rd,(706) 371-7536
Abundant Life Baptist Church,414 SW Persels Rd,816-554-8181
Abundant Life Baptist Church,976 Chapel Hill Rd,304-547-4370
Abundant Life Baptist Church,1605 N Hills Blvd,(479) 414-5504
Abundant Joy Church,111 Park Ave,(949) 563-1451
Abundant Hope Baptist Church,700 Willeyton Rd,(252) 465-1121
Across the Way Baptist Church,3806 E Auburn St,(806) 747-9020
Acorn Pond Baptist Church,608 Acorn Pond Rd,(229) 535-6608
Acorn Hill,246 Acorn Hill Rd,(252) 823-6360
Acquoni,722 Acquoni Rd,(828) 497-7106
Acorn Baptist Church,196 Polk Road 188,(479) 234-2046
Acorn Baptist Church,5000 Highway 1675,
Acme Baptist Church,40751 Highway 129,(318) 386-2382
Ackerman Baptist Church,P.O. Box 277,662-285-3211
Activa Church,904 Ivey Church Rd,(980) 525-9401
Achaia Missionary Baptist Church,312 Laprade Rd,(770) 227-1937
Access Point Church,518 Coke Ave,(252) 339-7767
Academy Baptist Church,689 Academy Church Rd,(706) 367-4652
Access / 17th Street Baptist Church,113 17th St,(540) 915-2107
Academy Baptist Church,2251 County Road 700,(662) 685-4200
Academy Baptist Church,1581 Academy Rd,
Abyssinian Baptist Church,4210 Germantown Ave,215-324-1981
Abyssinian Baptist Church of Christ,612 NW 6th Ave,(954) 993-7491
Abyssinia Baptist Church,2301 Avenue E,(205) 202-3898
Abyssinia Baptist Church,4705 Addison Rd,301-773-4712
Abundant Mercy Christian Church,1500 Mcdonough Pl,(404) 259-9838
Abundant Living Church,323 Danforth Ave,
Adamsville First Baptist Church,222 W Main St,(731) 632-3787
"Adamsville Baptist Church, Goldsboro",1302 N Berkeley Blvd,(919) 778-1213
Adamsville Baptist Church,5101 Adams Ave,(205) 674-3123
Adamsville Baptist Church,4839 E County Road 468,(352) 748-1821
Adamstown Community Church,5603 Mountville Rd,301-874-2633
Adamsville Baptist Church,17084 N US HIGHWAY 281,512-768-3480
Adamson Baptist Church,7513 E. Adamson Rd,(918) 297-3861
Adams Street Baptist Church,1521 W Adams St,
Adams Run Baptist Church,8113 Highway 162,(843) 889-0483
Adams Memorial Baptist Church,PO Box 1983,409-384-4248
Adams Grove Baptist Church,24463 Adams Grove Rd,434-378-1221
Adams Chapel Baptist Church,228 Adams Chapel Rd,
Adairville Baptist Church,327 W Gallatin Rd,(270) 303-5934
Adairsville Baptist Church,107 Summer St,(770) 773-3198
Adaburg Baptist Church,200 Adaburg Tower LLN,
ACTS2 Northern California,1275 Harbor Bay Pkwy,(510) 522-2467
"Acts International Christian Fellowship, SBC",28390 US Highway 74 #14,(951) 928-5305
Acts Community Baptist Church,14613 N May Ave,(405) 510-5809
Acts Church,300 S. 13th St.,254-759-1800
Acts 2 Southeast,5045 Portsmouth Rd,(832) 475-0764
Acts 2 Ministries,4708 Hickory Hill Dr,(540) 774-9278
